organism,gene,<pLDDT>,std
Human,A0A024R1R8,72.2203125,13.156800756732002
Human,A0A024RBG1,83.98911602209947,21.898676321479975
Human,A0A024RCN7,54.187466666666644,10.53686127754476
Human,A0A075B6H5,85.97092307692309,17.26415608426242
Human,A0A075B6H7,90.42103448275859,14.01545959112776
Human,A0A075B6H8,91.09666666666668,13.479691086774645
Human,A0A075B6H9,89.54932773109243,14.803673898481833
Human,A0A075B6I0,89.30967213114754,13.859862673746987
Human,A0A075B6I1,89.48325,15.054880779030876
Human,A0A075B6I3,89.38837398373983,14.382551215618607
Human,A0A075B6I4,87.93282051282053,14.476846580540332
Human,A0A075B6I6,89.78788135593223,15.06098033204329
Human,A0A075B6I7,89.56409523809525,12.2228661353366
Human,A0A075B6I9,88.72282051282055,15.083310233508524
Human,A0A075B6J1,91.10300813008129,13.359697670436347
Human,A0A075B6J2,84.53754237288139,18.416434533025697
Human,A0A075B6J6,88.69443478260868,14.75891378065734
Human,A0A075B6J9,86.3979661016949,18.06219295953084
Human,A0A075B6K0,89.06521739130436,15.000228714072332
Human,A0A075B6K2,88.77643478260869,15.011130779832177
Human,A0A075B6K4,87.98852173913045,16.125367983316025
Human,A0A075B6K5,90.6439130434783,13.178787349086353
Human,A0A075B6K6,87.71499999999997,16.71659797778303
Human,A0A075B6L2,77.7264705882353,14.954702843021806
Human,A0A075B6L6,86.8382608695652,16.60653466251055
Human,A0A075B6N1,90.15157894736842,10.694866827328596
Human,A0A075B6N2,92.60855855855856,12.521714821317035
Human,A0A075B6N3,90.16495652173914,14.958196146415228
Human,A0A075B6N4,89.75982456140352,13.90384769303
Human,A0A075B6P5,90.89150000000002,14.400611656569776
Human,A0A075B6Q5,89.97279661016947,14.41214141427544
Human,A0A075B6R0,86.64618644067798,14.8453552582921
Human,A0A075B6R2,91.67341880341878,12.484254846846644
Human,A0A075B6R9,87.0175,15.806865557408907
Human,A0A075B6S0,77.13125000000001,9.191083229821173
Human,A0A075B6S2,90.47633333333334,15.013845772782163
Human,A0A075B6S4,89.94529914529916,15.42162082963643
Human,A0A075B6S5,90.39777777777778,15.030049963301359
Human,A0A075B6S6,90.46200000000002,14.555231854331051
Human,A0A075B6S9,88.51153846153845,16.53021303348149
Human,A0A075B6T6,93.59902654867255,7.50904292177539
Human,A0A075B6T7,82.95757575757575,17.186941930166853
Human,A0A075B6T8,91.92633928571426,12.275958647140914
Human,A0A075B6U4,90.02044642857143,13.216179234207651
Human,A0A075B6U6,89.95646017699111,9.475236277470914
Human,A0A075B6V2,76.36111111111111,6.586001897027842
Human,A0A075B6V5,91.88495575221238,10.714851831770853
Human,A0A075B6W5,90.98462809917352,11.08946682435484
Human,A0A075B6X5,91.39873873873877,11.4162566336929
Human,A0A075B6Y3,86.38550000000002,10.776178578234495
Human,A0A075B6Y9,85.406,11.855984311730511
Human,A0A075B700,86.6561111111111,8.896325170721326
Human,A0A075B706,86.881875,7.515508315102512
Human,A0A075B734,81.5318731988473,24.86456886164657
Human,A0A075B759,96.69658536585366,3.0834895577038637
Human,A0A075B767,95.9029268292683,3.870617580963105
Human,A0A075B7B6,91.42794871794871,12.131018625253985
Human,A0A075B7B8,81.46427350427352,20.369221599628396
Human,A0A075B7D0,91.18837606837604,13.354459158428249
Human,A0A075B7D4,91.10162393162396,13.774733338958953
Human,A0A075B7D8,90.72126050420171,14.068136686843095
Human,A0A075B7E8,90.49282051282051,13.490713351990035
Human,A0A075B7F0,91.39689655172413,12.504473986495938
Human,A0A075B7F1,91.40758620689653,13.919824465097257
Human,A0A087WSX0,88.04991869918699,16.315773379432553
Human,A0A087WSY4,91.27576271186445,12.605920078615448
Human,A0A087WSY6,90.17582608695653,15.552855126260575
Human,A0A087WSZ0,90.5436752136752,14.489574123751058
Human,A0A087WSZ9,91.23062500000002,9.11627854065482
Human,A0A087WT01,90.74183486238535,13.570204623144559
Human,A0A087WT02,92.07062499999999,11.216679964713427
Human,A0A087WT03,89.9253211009174,11.262465352413981
Human,A0A087WTH1,69.29527777777777,13.60767209105416
Human,A0A087WTH5,68.40674242424244,15.133691066534002
Human,A0A087WUL8,35.7153428571429,5.292320624899317
Human,A0A087WUM9,59.057378640776705,11.217759235011663
Human,A0A087WUV0,65.58011494252875,26.950771575087334
Human,A0A087WV53,85.37903361344532,21.16562794270357
Human,A0A087WV62,90.27417391304346,12.781411093262419
Human,A0A087WVF3,58.88233151183969,27.480553151014416
Human,A0A087WW49,91.53230769230765,12.481508468487098
Human,A0A087WW87,90.31809917355372,15.083851926773955
Human,A0A087WWA1,60.33778947368424,7.260917033419746
Human,A0A087WX78,64.41235142118863,18.397336648624115
Human,A0A087WXM9,53.69182305630028,10.36431394965316
Human,A0A087WXS9,59.363315118397075,27.038088380173445
Human,A0A087WYE8,91.08427350427354,12.204738348175173
Human,A0A087WZ39,89.76684210526315,14.811142102436868
Human,A0A087X0K7,87.6538596491228,11.575395147570855
Human,A0A087X0M5,91.06286956521737,12.179654222636485
Human,A0A087X179,59.645828779599256,27.13391313769103
Human,A0A087X1C1,68.48012500000002,12.737544749062709
Human,A0A087X1C5,91.08520388349505,11.648546278198182
Human,A0A087X1G2,59.084990892531906,26.94652393426974
Human,A0A087X1L8,74.17140625000002,22.0588240705761
Human,A0A096LNP1,70.22857142857144,13.971604906862682
Human,A0A096LNT9,60.75598214285716,11.331062510057208
Human,A0A096LNW5,85.00456204379566,15.078409444551419
Human,A0A096LP01,71.66589473684215,16.066757606590063
Human,A0A096LP49,44.15505174035747,18.3663105313125
Human,A0A096LP55,85.7768131868132,14.785465455822507
Human,A0A096LPG2,75.12434782608695,5.0792688844710865
Human,A0A096LPH7,80.80325123152711,19.77500204009221
Human,A0A096LPI5,56.62148148148148,5.716169530508076
Human,A0A096LPK6,90.63116129032257,9.640101723117342
Human,A0A096LPK9,84.74481012658231,9.94479093476077
Human,A0A0A0MRZ7,88.54608333333334,16.363172792169276
Human,A0A0A0MRZ8,88.73817391304347,16.562147706907048
Human,A0A0A0MRZ9,90.69548387096772,13.421221601702205
Human,A0A0A0MS00,81.54192982456135,17.820399501162715
Human,A0A0A0MS01,85.9434453781513,19.369763946838898
Human,A0A0A0MS02,85.25128205128206,14.75788594283218
Human,A0A0A0MS03,89.58868421052635,14.175511656544831
Human,A0A0A0MS04,92.01631578947368,11.460315147006126
Human,A0A0A0MS05,90.69368421052633,14.081551528298887
Human,A0A0A0MS06,89.89930434782605,13.48197022898354
Human,A0A0A0MS14,91.01145299145303,13.2231238964597
Human,A0A0A0MS15,91.0771428571428,14.880844442857839
Human,A0A0A0MT36,91.13517543859652,13.834262718671397
Human,A0A0A0MT70,90.92588235294116,4.158805058616107
Human,A0A0A0MT76,69.50261904761908,12.888469941242207
Human,A0A0A0MT82,58.31085106382979,11.127451932483595
Human,A0A0A0MT86,71.39291666666666,4.363580791779715
Human,A0A0A0MT87,84.13875,8.05172254474159
Human,A0A0A0MT93,67.78782608695651,6.285103822269827
Human,A0A0A0MT94,83.788125,11.474880837480406
Human,A0A0A0MT99,46.84959999999999,6.738902272625713
Human,A0A0A0MTA7,86.29187500000002,7.090695680564425
Human,A0A0A6YYC5,89.80905172413793,14.126723512698238
Human,A0A0A6YYD4,90.25887096774197,13.924787495319356
Human,A0A0A6YYG2,90.71701754385964,14.777697333257859
Human,A0A0A6YYG3,89.92637168141592,12.54328287341013
Human,A0A0A6YYJ7,90.1604424778761,15.783259608680641
Human,A0A0A6YYK1,91.57787610619465,11.071795423333775
Human,A0A0A6YYK4,80.84930434782609,14.484217420995748
Human,A0A0A6YYK6,92.16669724770647,9.12875375147835
Human,A0A0A6YYK7,90.36810344827592,13.506814941035039
Human,A0A0A6YYL3,70.8911948529412,27.29307641288683
Human,A0A0B4J1T7,77.286,16.09727634104602
Human,A0A0B4J1U3,89.78940170940166,14.761607299660792
Human,A0A0B4J1U4,85.57330508474581,15.366459185185574
Human,A0A0B4J1U6,91.38885964912281,11.079263288476781
Human,A0A0B4J1U7,91.2072727272727,13.155894257670525
Human,A0A0B4J1V0,91.34731092436974,14.480202868807238
Human,A0A0B4J1V1,91.09376068376068,13.624279341185696
Human,A0A0B4J1V2,92.20655462184874,12.113772038606264
Human,A0A0B4J1V6,91.12252100840337,14.309182350046058
